ID,Comment Text,Token Count
0,Mãi tin,2
1,Chán rồi,2
2,:,1
3,cười ia,2
4,Bruh,2
5,Yes,2
6,sao,1
7,Korea Drake,2
8,drake,2
9,Smt,2
10,Lan,1
11,Karma,2
12,:,1
13,erm,2
14,azz,2
15,MANNN,2
16,and?,2
17,Omg,2
18,monster,2
19,ew,1
20,Newew,2
21,tag me,2
22,what,2
23,No,1
24,Nojo,2
25,Oh!,2
26,Scary,2
27,HELP,2
28,STOP,2
29,stop,1
30,HELP,2
31,lol,2
32,Damn,2
33,Oh girl,2
34,exy,2
35,Cap,2
36,oh,2
37,um jack,2
38,jack,1
39,sis ....,2
40,VALV,2
41,love hem,2
42,LOL,2
43,reels,2
44,Oha,2
45,So ?,2
46,takut,2
47,Serem,2
48,serem,2
49,takut,2
50,Takut,2
51,stop,1
52,Wild,1
53,anh,1
54,pedo,2
55,lmao,2
56,Fr,2
57,Say Drake,2
58,The song,2
59,lmao,2
60,HAHA,2
61,Yo,1
62,takut,2
63,takut,2
64,Help,2
65,oh,2
66,name drama,2
67,Es,2
68,evil,2
69,drama name,2
70,pedo,2
71,the boss,2
72,aww,2
73,뭐래,2
74,겠냐,2
75,VALA,2
76,no,1
77,chỉ tỉnh,2
78,fighting,2
79,true,1
80,Devil,2
81,uy,1
82,brah,2
83,Men,1
84,Men,1
85,Weyo,2
86,Oh.,2
87,Damn.,2
