ID,Comment Text,Token Count,Label
0,"đứa nào chỉ_trích Kim_soo hyun thì vô "" kênh Tiktok tú luật_sư "" coi giùm",20,Ủng hộ
1,xem rồi và thấy hài,5,Không liên quan
2,sao cười bạn dị,4,Không liên quan
3,cầu mấy đứa bênh Kim_soo hyun gặp 1 thằng người_yêu i chang vậy mới dừa lòng tao,19,Không ủng hộ
4,Nói câu trước đạp câu sau mà tụi nó tin tao cũng quắt đờ heo . Cuối_cùng thì người đáng thương là Kim sae ron thôi,28,Không ủng hộ
5,chịu_thua ạ,3,Trung lập
6,Mất internet mấy ngày à mà bảo nó dí nợ dậy lên cập_nhật đi mày rồi hẵn chỉ_trích,21,Trung lập
7,"haha idol của các bạn ý khôn lắm chứ , ai mà đi nhận yêu lúc người ta vị_thành_niên được , ai mà_lại dí nợ trực_tiếp dưới danh_nghĩa idol . Gia_đình người ta nói được gì khi mà sau lưng làm gì có 1 đội_ngũ truyền_thông như_thế . nhãn hàng mà họ thấy mùi thối như thế thì người ta cắt quảng_cáo rồi . chứ mà tin vu_vơ thì mắc gì họ cắt : các nhãn hàng người ta có quen_biết truyền_thông người ta có thông_tin hết rồi chứ sao bạn nhỉ",109,Không ủng hộ
8,Người chứ phải bò đâu để nó dắt từ bãi này sang bãi khác vậy trời,16,Không ủng hộ
9,hóng chiện nửa_mùa,5,Trung lập
10,"trong vụ này tao chỉ thấy vụ nợ là đáng nói thôi á , chia_tay đòi nợ bình_thường mà 700 triệu won đâu phải là con_số nhỏ , người_yêu cũ mượn tiền mấy bạn chia_tay là mấy bạn cho cả 700 triệu won luôn hả , ừ có nhiêu đâu = . đứng trên lập_trường chủ_nợ tao thấy bình_thường , ông này cũng không bình_thường bà này tự_sát vì số tiền đó , còn tình_cảm thì tao chịu",90,Trung lập
11,Chủ kênh anti Kim_soo hyun hả,7,Không ủng hộ
12,"ê thật , nói cập_nhật với người ta thắc_mắc mà zô toàn bênh Kim_Sae_Ron với dìm Kim_Soo_Hyun xuống không",29,Không ủng hộ
13,"nó bênh gia_đình Kim sae ron đó c , nó hóng không tới mà nói lắm",18,Không ủng hộ
14,không hùa theo để mình được nổi th coi từ lúc bả đăng về hai người này view và tim bả tăng 1c đáng_kể luôn tranh_thủ buss tí famee th kk,38,Không ủng hộ
15,đám_tang cũng không đi quá tồi,7,Không ủng hộ
16,bà chị ơi hóng thì hóng cho tới nhé chứ lên clip vậy dễ điều hướng dư_luận đi lung_tung lắm,22,Trung lập
17,Bà chị ơi hình_như được minh_oan rồi kìa bà phân_tích như bà biết hết vậy,18,Trung lập
18,Ê má ban_đầu ổng bị nói quan_trọng mà tui thấy ổng cũng có sai đâu trời do bà kia die nên người ta thương đâm_ra ổng rồi : chớ chia_tay lâu rồi mà,37,Ủng hộ
19,"tui cũng thấy d , chuyện tiền_bạc chả liên_quan tới ảnh mà kể_cả có liên_quan gì ảnh đòi thì sao ? mượn thì trả chứ mấy người mắc_cười qa , đằng này là còn bồ cũ",42,Ủng hộ
20,giờ bà mẹ deal được giá rồi đó,9,Không liên quan
21,"mệt quá lúc yêu kêu không quan_trọng tuổi_tác xong giờ đem tuổi_tác ra , mạng xã_hội áp_lực nên tự_sát xong giờ dồn hết lỗi cho oog Kim_Soo_Hyun , mạng xã_hội hàn với Việt hài vãi =",46,Không ủng hộ
22,Trời_ơi bây đừng ép chồng tao tao sắp mồ_côi chồng rồi,13,Ủng hộ
23,"1 Theo mình nghĩ , mốc thời_gian hẹn_hò của Kim Soo-Huyn và Kim Se-Ro là sai sự_thật . Nhưng , nói một khía_cạnh nào khác , việc Kim Soo-Huyn đang nổi_tiếng và phủ_nhận cái việc hẹn_hò năm 2015 là hoàn",57,Trung lập
24,"Nín , nín liền . Người_yêu cũ tao mà gặp thì có mà tàn_canh gió lạnh với tao , tao tránh còn hơn tránh tà nhé . Ở đó mà cho mượn tiền với chẳng đi đám_ma",45,Không ủng hộ
25,Suýt_nữa tui cào bàn_phím bồ rồi đó,9,Trung lập
26,Bồ cùng fandom engene với mình nè,9,Không liên quan
27,"vì chưa bình_thường ai đúng ai sai nên không_thể khẳng_định kim_soo hyun sai được với giờ kim soo-hyun nghèo hả , không tin Kim_Sae_Ron lúc đó 19 20 tuổi có bằng_chứng không mà nói",44,Trung lập
28,Ủa đọc thư có saranghezo chỗ nào vậy má,13,Trung lập
29,Tóm_lại bà phe Kim_Sae_Ron,9,Không ủng hộ
30,"nói_chung chỉ tranh_thủ chỉ bus tí để nổi lên rồi lúc người ta đưa đủ = chứng á thì chỉ lấy này lấy kia ra làm_bia_đỡ_đạn , rồi quay qa thương_hại Kim sae ron nếu thương bả thì đâu có rảnh mà di moi_móc mấy cái này .",57,Không ủng hộ
31,"Đứng trên vị_trí của bé Kim sae ron thì đáng thương thật , thanh_xuân tình_đầu , thể_xác , trao cho 1 người đàn_ông , cuối_cùng thì ...",37,Không ủng hộ
32,Bạn suy_nghĩ giống mình ghê lun,8,Không liên quan
33,trao cho người không xứng_đáng lẽ mẻ ở YG có tương_lai hơn,14,Không ủng hộ
34,cuối_cùng thì vay 7tr won không tính trả ha,11,Không ủng hộ
35,"Công_ty đã up data 2 bức ảnh hẹn_hò đều từ 2019 . Kính mua mắc gì 5 6 năm sau không được saif , chưa kể trên ig của Kim_Sae_Ron có 1 tấm năm 2020 y_chang kiểu tóc ảnh chụp chung kìa",49,Trung lập
36,"tin mới kìa , lên clip đi ? ? ?",11,Không liên quan
37,mẹ ơi mẹ núp gầm giường người ta hay sao á,11,Không liên quan
38,như biết hết rồi á,5,Trung lập
39,""" sau_này cs garasero á , thì tuy là nói tào_lao thật , nhưng_mà nói chịu làm ts cùng """,27,Trung lập
40,"đã từng yêu con_người ta từ lúc cô mới lớn , tài_sản thì không nhỏ mà bạn gái cũ đã đi đến đường cùng van_xin năn_nỉ vẩn không giúp mà tụi fan còn bênh",40,Không ủng hộ
41,+ 1 máy hóng nửa_mùa không có liêm_sỉ,10,Không ủng hộ
42,bà phân_tích như bà biết hết vậy,8,Không liên quan
43,Hình_như là Won_Bin trả nợ 700 triệu won cho Kim_Sae_Ron đúng không chị,18,Không liên quan
44,Trả hồi nào công_ty tự xoá nợ luôn chứ chưa trả được đồng nào,15,Trung lập
45,Kêu tuổi vị_thành_niên đúng không vậy kêu công_an bắt xemesis liền cho tao,19,Không liên quan
46,"không nha bạn , luật hàn là trên 13 tuổi được yêu rồi nhưng_mà hai người này năm 2019 mới yêu= > bà kia 19t rồi",31,Ủng hộ
47,"tiếp đi , tao chưa đủ wow",8,Không liên quan
48,rồi sao Kim sae ron mất vào ngày sinh_nhật của Kim_soo hyun luôn vậy trời,18,Trung lập
49,mất từ trước nhưng 16/2 mới phát_hiện,8,Không liên quan
50,Vụ này cuứ bb3,6,Không liên quan
51,cũng hóng drama nữa he,5,Trung lập
52,Tao có 1 thắc_mắc là nhà kia có trả tiền không,13,Trung lập
53,mẻ này là người trong cuộc hã,8,Không liên quan
54,Bên Kim_soo hyun đính_chính chưa mọi người,9,Trung lập
55,"đính_chính rồi nha , bài 10 nghìn chữ có đủ bằng_chứng luôn . không như viện garo sero",23,Ủng hộ
56,Bạn coi tin_tức đính_chính cách đây 2 tiếng chưa ta,12,Trung lập
57,cái áo bị soi ra là năm chỉ đã 19t rồi á bà,14,Trung lập
58,chia_tay 4 năm rồi mấy má ơi,8,Không liên quan
59,Thôi thôi thoii . Tao vẫn thấy Kim_soo hyun chẳng sai gì cả,15,Ủng hộ
60,? bênh vừa vừa,4,Không ủng hộ
61,muộn liệu chị có trả_lời không,7,Không liên quan
62,Em tin anh kim,4,Ủng hộ
63,hóng cho đúng nha trời . phải nghe từ 2 phía nha bà .,15,Trung lập
64,"thật_ra thì bả khổ , gia_đình cũng không phải tốt gì với bả , từ nhỏ đã phải đi làm nuôi gia_đình rồi .",28,Trung lập
65,ghép hình con rắn vô mặt mình thấy cũng giống rồi đó .,13,Không ủng hộ
66,Y_chang cái tên,4,Không liên quan
67,thôi đi má,3,Không liên quan
68,Gia_đình không có ở bên thì việc nghĩ quẩn là điều không_thể tránh khỏi,16,Trung lập
69,chưa đủ wow tiếp di,6,Trung lập
70,Vụ này căng nha,4,Trung lập
71,tiền vào_cuộc cũng chưa lật kèo được đâu còn nhiều thứ ẩn_khuất chờ ngày được khui,18,Trung lập
72,Chị ngủ rồi mà hay cứ ồn_ào quá,9,Không liên quan
73,ê í là chia_tay 4 năm rồi tnhien bà mẹ đăng ảnh yêu nhau lên và mượn trả tiền dùm trong khi đã chia_tay ?,29,Trung lập
74,sớm aaa,3,Không liên quan
75,"Hóng drama mà hóng không tới , lên bài nhanh là hay",15,Trung lập
76,Chịu rồi thế cũng không tìm_hiểu chọn_lọc nữa,10,Trung lập
77,Trời bênh Kim sae ron chắc ln :,10,Không ủng hộ
78,"thấy xu_hướng là điều hướng dư_luận luôn , nể",13,Trung lập
79,ảnh mà lật được kèo này ra_đời em nể mỗi_anh,12,Ủng hộ
80,Khổ_thân Kim_soo hyun thấy drama này ổng không làm gì sai,13,Ủng hộ
81,chia_tay 4 năm rồi còn gì,7,Trung lập
82,Viện gì đó chúng_mày nghe từng ủng_hộ mĩ đánh việt_nam,13,Không liên quan
83,"hóng cho hết đi trời , nghe từ một phía như_vậy cũng lên tóm_tắt tình_hình",20,Trung lập
84,Bữa thấy ảnh “ tự_sát tại nhà_riêng ”,11,Không liên quan
85,sớm nè haii,4,Không liên quan
86,ưu_điểm thích hóng thích tóm_tắt nhược_điểm hóng không tới mà thích gào mồm .,17,Không liên quan
87,khổ_thân chị Kim_Saeron ghê á,8,Ủng hộ
88,Tui thắc_mắc chối không hh vài lần rồi dsp tung ra kêu do tuổi nhà_gái nên không công_khai . Rồi bên đó tung ra từ 19t . Xin cái bằng_chứng,38,Trung lập
89,Tui đọc thấy có thuyết âm_mưu làm làm to vụ này lên để át cái vụ bên chính_trị thả bom gì đó,24,Trung lập
90,tao không chưa hỉu vụ này á mọi người là ổg sai hay ổg đúg vậy,20,Trung lập
91,rồi lên tập với đi trời_đất con này nó nói gì tao thấy nó ...,16,Không liên quan
92,"ê tính ra chủ tus ơi , ý là sao lên bài cập_nhật chuyện mà toàn đổ qua lỗi kim soo huyn zậy , cái gì Kim_soo hyun đúng mà không lên mà toàn lên bài_chỉ trích Kim_soo hyun vậy trời",49,Ủng hộ
93,Làm vạn_hạnh mall đi mom,7,Không liên quan
94,Nghe kim_soo hyun mở họp_báo chưa trời ?,12,Trung lập
95,"từ đầu drama đến giờ chưa thấy Kim_Soo_Hyun sai chỗ nào , nếu có thì chắc là không đi đám_tang của Kim_Sae_Ron",28,Ủng hộ
96,xem vụ lật kèo của anh kia chưa sao không thấy cập_nhật tiếp vậy :,16,Trung lập
97,Cập_nhật tin cho tới hôm_nay đi bạn,10,Trung lập
98,Ảnh lật kèo rồi bay ơi,6,Không ủng hộ
99,Nói chi nhiều giờ công_ty chia cổ_phần cho gia_đình Kim sae ron là drama này kết_thúc liền à .,24,Trung lập
100,Nữa đi tung ảnh nữa đi tao chưa đủ wow í í là tao thấy mấy ảnh tung lên rất bình_thường á gió chiều nào theo chiều ấy thoi người ta đáng thương nhất_là Kim sae ron thôi,43,Không ủng hộ
101,có ảnh mới bà hóng chưa bà ơi,8,Không liên quan
102,thế_lực cỡ nào mà không lên_tiếng cha_mẹ gì kì zậy,14,Trung lập
103,ngồi hóng kênh thứ 7 không fan ai lúc ra kết_quả tao với nói,15,Trung lập
104,Tao thấy đó giờ quậy cũng dừa rồi .. cũng_nên dừng lại thôi không thì lại đi hơi xa,20,Không ủng hộ
105,drama này lan_man vãi ò,6,Không liên quan
106,bị garosero dắt_mũi hả ?,8,Trung lập
107,admin có cập_nhật cái kênh viện đó thua kiện còn nhiều hơn là số ngày Kim_Soo_Hyun hẹn_hò Kim_Sae_Ron không nhỉ ?,28,Trung lập
108,nói mà tao tưởng người trong cuộc không á,9,Trung lập
109,chủ tus như năm 2025,5,Không liên quan
110,"Theo tao là tao thấy trong vụ này Kim_Sae_Ron đáng thương nhất tao chỉ đứng ở phía là suy_nghĩ của 1 người con gái khi yêu mà suy ra thôi , Kim_Sae_Ron yêu ổng nhìu cộng thêm việc có nợ_nần các kiểu bị cdm chửi",57,Không ủng hộ
111,Ủng_hộ bà,4,Không liên quan
112,Vậy_mà mí chuỵ vẫn bênh được mình cũng nể đó,12,Không ủng hộ
113,"cho hỏi ngu xíu , saranghezo là cái gì vậy",15,Không liên quan
114,Lè nha lè_nhè,5,Không liên quan
115,Ê lên tiếp đi,4,Không liên quan
116,Là ai đúng vậy ? ?,7,Trung lập
117,tính ra mấy má cư_dân mạng cũng như thám_tử luôn =,14,Trung lập
118,Hẹn_hò mùa COVID vậy những bức ảnh đó chụp vào thời_điểm nào vậy mọi người,19,Trung lập
119,Soi thì thôi nhé luôn,5,Không liên quan
120,ê tính ra bả mất rồi mà cũng không được yên nữa ha,13,Trung lập
121,"Mày nghĩ do Kim_Sae_Ron không muốn tổn_thương Kim_Soo_Hyun nên không lên_tiếng , giờ Kim_Sae_Ron mất rồi nên gia_đình mới lên_tiếng á",34,Trung lập
122,bình_thường ảnh quá phim Nữ_Hoàng Nước_Mắt bias làm chồng giờ sắp mồ coi chồng luôn rồi,20,Không ủng hộ
123,"tao thấy khổ người đã mất , lôi người ta lên cho bằng được",16,Không ủng hộ
124,+1 người không tin bất_cứ phe nào,8,Trung lập
125,cảm_ơn bạn.kkk. hóng chuyện mà không rành tiếng Hàn khổ ghê,15,Không liên quan
126,ủa chưa có chấm_dứt hợp_đồng mà,8,Trung lập
127,Mày biết n sai ở đâu không sai vì là người nổi_tiếng đó,14,Không ủng hộ
128,"đi từ hết wow này đến wow khác , tưởng lật mà ai_ngờ lật 1 vòng_tròn",21,Trung lập
129,Đến cả người trong nghề biết mà có dám đâu nói gì người_nhà kim searon,18,Trung lập
130,Không qua được cộng_đồng mạng hé,7,Không ủng hộ
131,có bà này hóng khoẻ_re,8,Không liên quan
132,chưa có đủ wow,5,Trung lập
133,Anti hỏ bạn,5,Không liên quan
134,Prada chưa chấm_dứt hợp_đồng nhaa,8,Trung lập
135,ê rồi cái dụ Thời_Yên là cái gì bây ?,13,Không liên quan
136,trả_lời em=,4,Không liên quan
137,Kim_soo hyun lên_tiếng rồi mà,7,Trung lập
138,hết nhận oppa rồi,5,Không ủng hộ
139,thích coi má này,4,Không liên quan
140,"Ê ý là có hóng_hớt cho tới chưa vậy ? - Thứ nhất : mày kêu thời_điểm đó Kim_soo hyun quyền_lực cỡ nào nên gia_đình Kim sae ron mới không dám làm bung bét vụ này . Ủa chứ giờ Kim_soo hyun bị đày xuống làm khổ_sai rồi hay gì mà gia_đình kia mới lên_tiếng ? Gia_đình Kim sae ron ban_đầu bóc phốt là do Kim_soo hyun ép trả khoản nợ 700 triệu won kia nên cô này mới tự_sát , sau đó lại điều hướng dư_luận thành Kim_soo hyun quen với trẻ vị_thành_niên ? Rồi mày kêu cái kính Kim_soo hyun đeo được tặng 2015 thì chứng_tỏ 2 người này quen từ thời_điểm đó , ủa mắc gì đến năm 2019-2020 không được đeo tiếp vậy ?",158,Không ủng hộ
141,"chuyện mệt ghê á riết thấy nó bình_thường vãii cái tao cần biết là ổng có quen bả ở tuổi vị_thành_niên không chứ không phải mấy ảnh thân_mật lúc yêu_đương của 2 ông bả , mà tao hỏi thiệc nha bộ mình phải có hiểu với người_yêu cũ tới cùng hả bay , chuyện của Kim_Sae_Ron với Kim_Soo_Hyun với công_ty là xong từ 10 tháng trước rồi mà =",83,Trung lập
142,"1 . Bức ảnh chụp trước năm 2017 vậy tại_sao cái cáo nike lại được xác_định sản_xuất trong năm 2019 mua áo đến từ tlai à 2 . Sao nhìn bức ảnh đó thì xác_định được chưa đủ 19t ý là phải giả ngầu ngầu và không được chụp hình kiểu cute thì mới được nói là đủ tuổi à và còn cái kiểu tóckhông lẻ 1 năm đó người ta chỉ có_thể để được 1 kiểu tóc với_lại việc chuyển từ mái bằng sang mái bay dễ mà , tạo kiểu sấy vô nếp là xongdù gì cái mái bả cũng đâu quá ngắn để không tạo được lại thành mái bay 3 . Còn cái kính , không lẻ chỉ được đeo 1 lần duy_nhất trong đời , trong 1 năm duy_nhất và không được tái_dùng lại à Tao không theo phe ai nhưng_mà lý_lẽ phải thuyết_phục hơn_nữa người ta mới tin được",175,Trung lập
143,"Tao thấy bên thái có cái vụ năm 2014 Kim_soo hyun qua thái fan meeting xong tự_nhiên muốn chơi cầu_lông , bắt nhân_viên phải chuẩn_bị sân cho ổng trong khi đó hall đó là để cho fan meet mà nhân_viên đã chuẩn_bị ghế đầy_đủ rồi mà ổng bắt cất đi dọn sân cho ổng chơi á",67,Không ủng hộ
