ID,Comment Text,Token Count
0,"Kiến nghị Quốc hội trừng phạt Lee Jin-ho Hãy cùng nhau ngăn chặn những thiệt hại gây ra bởi YouTuber kiêm phóng viên giải trí Lee Jin-ho, người liên tục gây ra những hành vi sai trái. #ViệnNghiênCứuGaroSero #Gaseyeon #KiếnNghịQuốcHội #XinHãyThamGia",71
1,"Cách thức kiến nghị nhanh chóng và dễ dàng = Không cần đăng ký thành viên, sau khi nhấn vào [Xác thực không phải thành viên], đừng nhấn vào nút màu đỏ dưới cùng mà hãy nhấn vào [Xác thực bằng tin nhắn SMS], sẽ nhanh hơn đấy.",59
2,"Những người hâm mộ Gaseyeon bị chặn nhầm do chặn các bình luận gây rối, hãy đến fan cafe chính thức của Gaseyeon, Gafancl và cho chúng tôi biết trong thông báo [Thông báo liên quan đến chặn] nhé.",57
3,"Đồng ý, đã nhấn.",6
4,Hoàn thành.,3
5,"Nhìn quần áo thì giống với mấy tấm ảnh cọ má cọ má rần rần trước đây. Nghe nói hồi đó Kim Sae Ron mới mười mấy tuổi, còn cọ má rồi hôn hít với cả trẻ vị thành niên nữa. Lúc xem Good Day thấy quý mến vậy mà... Haizzz, thôi thì hủy quảng cáo rồi nhận tiền phạt hợp đồng cho đáng đời đi.",78
6,"Ôi trời ơi, đồ tồi tệ.",9
7,"Tôi đã từng nghĩ Gaseyeon là người xấu, nhưng sau khi thấy họ tố cáo Baek Jong-won và Kim Soo-hyun, những người có quyền lực lớn, tôi đã phải nhìn nhận lại.",45
8,Chắc hẳn là vua chúa thời Joseon không hẹn hò với học sinh cấp hai đâu nhỉ.,20
9,Đời tôi thật đáng thương.,6
10,Kim Soo Hyun là đồ rác rưởi. Nghĩ đến Sae Rom mà đau lòng quá.,20
11,Lee Jin-ho cũng đúng là đồ rác rưởi. Phải tống cổ cái thằng Lee Jin-ho đó vào tù chung thân.,25
12,Phải làm cho Kim Soo Hyun bị giới giải trí ruồng bỏ.,14
13,Trên trán viết phản đối luận tội kìa,8
14,Thật đáng tiếc Sự thật thì chỉ có họ mới biết thôi. Mong là họ đừng vui mừng quá,20
15,Loại cha mẹ nào lại biến con gái đã chết thành chủ đề bàn tán vậy? Loại người đẩy cả người sống vào chỗ chết là loại người không có lương tâm. Xin hãy dừng lại đi.,41
16,"Thằng đó mà là học sinh cấp 2 thì bằng tuổi con trai tôi rồi. Đúng là thằng khốn, đáng bị trời phạt. Phải từ bỏ hết Disney Trung Quốc thôi.",38
17,Chúng tôi hoàn toàn ủng hộ bạn.,8
18,"Tôi đọc các bình luận và bị sốc, làm sao có thể phần lớn mọi người lại nhảy lên chuyến tàu lạm dụng truyền thông như vậy, họ thậm chí không tìm kiếm sự thật từ một quan điểm trung lập hay tự mình suy luận. Thật là một xã hội điên rồ! Đây là lý do thực sự tại sao các nghệ sĩ của họ biến mất khi còn trẻ, vì sự bắt nạt trên các phương tiện truyền thông, điều này đáng lẽ phải bị xử phạt và cấm ở cấp quốc tế. Tôi nghĩ người tiếp theo đang đến gần vì những bình luận của các bạn, hãy suy nghĩ về điều đó",129
19,"Nhưng mà nghe nói Kim Soo Hyun với Kim Sae Ron chia tay rồi, cô ấy kết hôn với người khác ở nước ngoài và sống ở đó mà... Vậy thì mối quan hệ với Kim Soo Hyun trong quá khứ đã kết thúc rồi, cô ấy phải bàn bạc với chồng mình chứ? Dù Kim Soo Hyun có nhiều tiền đi chăng nữa thì Kim Sae Ron đã là người trưởng thành, gây ra tai nạn lái xe khi say rượu, người yêu cũ có nghĩa vụ phải giúp đỡ sao? Và chuyện quá khứ có yêu đương với người vị thành niên hay không có vẻ không phải là trọng tâm? Có vẻ như họ đang khơi lại chuyện quá khứ để tạo ra một vấn đề khác thôi.",149
20,"Chỉ toàn kích động cảm xúc để biến Kim Soo Hyun thành rác rưởi, chẳng có kết luận gì cả. Việc đó thì liên quan gì đến chuyện hẹn hò khi còn vị thành niên?",42
21,Cách kiếm tiền thì muôn hình vạn trạng. Tỉnh táo lại đi.,14
22,"Tất cả các bà mẹ ở Hàn Quốc phải bảo vệ mẹ của Kim Sae Ron. Vấn đề này rất nghiêm trọng. Nếu văn hóa Hàn Quốc không đủ mạnh để giải quyết vấn đề này, sẽ có nhiều Kim Soo Hyun hơn trong tương lai. Ảnh hưởng của người mẹ là vô cùng lớn. Mong tất cả các bà mẹ Hàn Quốc hãy ủng hộ vai trò của Kim Sae Ron trong việc đấu tranh cho công lý cho người con gái xinh đẹp đã chết dưới bàn tay của những kẻ ấu dâm tàn ác.",107
23,"Đừng sợ cái chết, thưa mẹ. Nếu con là mẹ, con sẽ không màng đến sống chết mà chiến đấu đến cùng. Đừng mong cầu sự bình yên. Hãy nhớ rằng họ đã vô cùng tàn nhẫn với mẹ con Kim Sae Ron, tàn nhẫn và đáng thương đến mức chưa từng gặp Kim Sae Ron, không nhận điện thoại, và không muốn cho Kim Sae Ron cơ hội trả nợ. Thưa mẹ Kim Sae Ron, đừng sợ hãi, hãy chiến đấu đến giọt máu cuối cùng, tiến lên cho đến khi chết để những kẻ gây ác cho con gái yêu quý của mẹ phải cảm nhận được sự tàn khốc mà chúng đã gây ra. Hãy dốc hết sức mình.",146
24,"Kiếm thì kiếm được nhiều thật nhưng mà không có gì đặc biệt mà lại còn quá to nữa. Về mặt ngoại hình thì phải là Jung Woo Sung... Thành thật mà nói, phải có chút tinh tế để thừa nhận và công nhận điều đó chứ. Kim Soo Hyun đúng là đồ hèn nhát.",62
25,Từ giờ tôi sẽ không dùng bất kỳ sản phẩm quảng cáo nào của Kim Soo Hyun nữa. Hoàn toàn vô liêm sỉ... Coi thường và kiêu ngạo với tất cả người tiêu dùng và người xem. Quá xảo quyệt.,45
26,"Đây đúng là một hành động tàn nhẫn để thúc đẩy động lực, Kim Soo Hyun nhỉ?",21
27,Một người đã chết.,5
28,Lại định giết thêm một người nữa hả? Vừa vừa thôi. Cả hai đều chẳng tốt đẹp gì đâu,21
29,"Tôi chắc chắn rằng tất cả những người phàn nàn ở đây đều là những người ghét người đã khuất khi còn sống. Những kẻ đạo đức giả!! Đến tận bây giờ, họ vẫn cố gắng ""làm trong sạch"" tên tuổi của cô ấy vì cái gọi là người dì, người đã không giúp đỡ gì cho cuộc đời cô ấy khi cô ấy còn ở cùng người thân? Khi cô ấy cần, cô ấy đã tìm đến bạn bè. Khi cô ấy còn sống, họ chỉ coi cô ấy như một cái máy ATM và bây giờ họ vẫn muốn lợi dụng ký ức về cô ấy.",127
30,Còn sót lại cả video kiểu này được đăng lên hồi vụ Lee Sun-kyun nữa này.,20
31,"Thật sự thì Gaseyeon làm việc cho đất nước nhiều hơn cả các nghị sĩ của đảng Sức mạnh Quốc dân. Cảm ơn vì đã đứng ra làm những việc khó khăn. Tôi xin được ủng hộ chút ít. Và tôi có một thắc mắc là nếu gọi là ""각하"" bệ hạ thì liệu phe Dân chủ có vịn vào đó để luận tội lần nữa không? Tôi nghĩ rằng nếu bác bỏ thì sẽ không còn lý do gì để luận tội nữa, đó là suy nghĩ cá nhân của tôi.",107
32,Mọi người xem video vừa mới lên chưa? Kết hôn cơ đấy... Haizz... Đến nước này rồi mà vẫn đổ tại Kim Soo Hyun gây ra cái chết à? Chắc chắn là biết chuyện này rồi nhưng sao không nói ra? Vừa phải thôi đi.,54
33,"Tôi nghe nói là khi Kim Sae Ron lái xe trong tình trạng say xỉn, có việc công ty tiếp đãi rượu đến tận sáng. Xin hãy xác nhận tính xác thực của việc này. Fan cần biết sự thật để giải tỏa hiểu lầm.",52
34,Tôi tha thiết mong Kim Sae Ron sẽ được phục hồi danh dự. Thật tiếc cho Sae Ron quá. Thật đau lòng.,27
35,"DỪNG LẠI HÀN QUỐC, ĐỦ RỒI ĐẤY, ĐỪNG VU KHỐNG VÀ TUNG TIN ĐỒN ĐỂ PHÁ HOẠI HÌNH TƯỢNG NỮA, KIM SOO HYUN KHÔNG PHẢI LÀ NGƯỜI ĐẦU TIÊN ĐÂU, CÓ NHIỀU NGƯỜI ĐÃ PHẢI CHẾT VÌ ÁP LỰC CỦA BÁO CHÍ GIẬT GÂN RỒI, DỪNG LẠI DỪNG LẠI",107
36,Ai đã tiêu hết tài sản của Kim Sae Ron vậy? Kim Soo Hyun à?,19
37,Tự sát à!,4
38,"Lại tóm được một vụ ngang dọc nữa rồi. Đúng là lũ trẻ trâu, định moi được bao nhiêu tiền đây.",27
39,Tôi theo dõi tin này...tôi đến từ INDONESIA,14
40,"Kể cả khi súng kề vào đầu mày, mày vẫn ủng hộ thiết quân luật à?",19
41,"""Tả khuynh là gì?""",9
42,"""Chó sủa cái gì vậy?""",9
43,Mấy thằng GaSeYeon đúng là lũ điên.<br>Chuyên moi móc chuyện của người khác để kiếm tiền.,24
44,Vậy là mọi người đều muốn Kim Soo-hyun cũng thất bại nên mới làm vậy hả?? Vừa vừa thôi đi.,25
45,Đến tôi còn không ngờ mình lại đi cổ vũ cho Garo Sero.,15
46,Dậy đi anh Kim Soo Hyun ơi.. Anh phải làm việc thật chăm chỉ thì mới có thể vượt qua được cơn bão này. Chúng em luôn ủng hộ anh. Anh phải đứng lên và xuất hiện thật tươi tỉnh nhé. Vấn đề xảy ra bây giờ chỉ là chuyện quá khứ thôi. Em tin anh có thể vượt qua được.,69
47,"Thật không thể tin được làm sao tin buồn này lại lan đến khắp thế giới, chúng ta không muốn thấy thêm bất kỳ kẻ ấu dâm nào trên thế giới nữa.",35
48,"Nếu không có luận tội Yoon Suk-yeol, thì đây không phải là đất nước.",19
49,"Cảm ơn vì đã xử lý vấn đề đúng cách, Kim Se-ron.",16
50,"Không còn gì để nói, cái nơi này chắc chắn là trại tâm thần rồi",17
51,Có thể thêm phụ đề Trung-Anh không? Thật sự không hiểu gì cả.,17
52,"Vậy thì xem ra Jo Se Ho cũng tham gia vào ngày 25, không phải là người đoạn tuyệt nhanh nhất nhỉ... Cùng nhau uống rượu, vui chơi mà bảo là đoạn tuyệt thì lời nói khác mà...",45
53,"Một người phụ nữ đã phải vật lộn từ khi còn nhỏ bị hủy hoại bởi công ty vàng, Kim Soohyun, cư dân mạng, youtuber Lee Jun hoo, thật tàn nhẫn khi họ đối xử với con người.",51
54,Chính những người đã công kích cô ấy trên mạng xã hội giờ đây lại mang dòng máu của cô ấy.,22
55,"Đây là nhà báo á?? Tính chuyên nghiệp quá kém. Cứ lúng túng, đâm đầu lung tung, chia rẽ tất cả những người được nhắc đến, luận điểm thì không có logic, tư duy đen trắng như đứa trẻ 5 tuổi, quá nhiều kẻ thù. Cũng đáng bị loại khỏi đề cử của Quốc dân chi lực. Đến học sinh cấp 2 bây giờ trình độ còn cao hơn. Đừng lôi người chết ra mãi thế nữa, không thấy có lỗi với Saeron à!",105
56,"Chuyện nam nữ yêu nhau rồi chia tay... là chuyện thường tình, nhưng nói là vứt bỏ như đôi dép rách thì có chấp nhận được không?",32
57,Đồ chương trình bẩn thỉu đem chuyện của Sae Ron đã chết ra để thao túng chính trị!! Ghê tởm. Chuyện của Sae Ron khi nào mới ra đây!!,40
