ID,Comment Text,Token Count
0,Diddy,2
1,Seungri,1
2,Diddy,2
3,Đồng ý,2
4,Neymar,1
5,Cảm ơn,2
6,Cảm ơn,2
7,Benzema 2.0,2
8,Quý ông,2
9,Tf,2
10,Ừ,1
11,Hả?,2
12,Kamina,2
13,Oppa,2
14,Giống tui,2
15,Giống tui,2
16,Giống nhau,2
17,Vâng,1
18,GIẢ,2
19,nan,1
20,Fr....,2
21,Tìm kiếm,2
22,Anh bạn,2
23,Vậy là,2
24,An nghỉ,2
25,Tội phạm,2
26,Không,1
27,Nghiệp,1
28,Mãi mãi,2
29,Bà.,2
30,Đúng vậy,2
31,nan,1
32,Hả?,2
33,Đúng,1
34,Đúng,1
35,Đồng ý,2
36,Chính xác,2
37,Chính xác,2
38,Ác quỷ,2
39,WTF,2
40,Diddy,2
41,Đồng ý,2
42,Ở đâu,2
43,Buồn,1
44,Không,1
45,thật,1
46,PDFile,2
47,Ác quỷ,2
48,Ừ,1
49,Gì,2
50,Ừ,1
51,Không,1
52,GAVAR,2
53,Cười ẻ,2
54,Không,1
55,chụp,1
56,Vâng,1
57,Lan truyền,2
58,Phần 2,2
59,nan,1
60,Giống tôi,2
61,Ôi không,2
62,Chào bạn,2
63,Tẩy chay,2
64,Phần đến,2
65,Đúng,1
66,chính xác,2
67,RIP,2
68,Ừ,1
69,Đầu tiên,2
70,Thứ nhất,2
71,Đồng ý,2
72,Tốt,1
73,Tốt,1
74,Độc hại,2
75,Tôi nghĩ,2
76,Đúng vậy,2
77,Ừm,2
78,kk,2
79,Suzy,1
80,Ma nước,2
81,Không,1
82,Hả?,2
83,nước bọt,2
84,Wow,2
85,Di truyền,2
86,Ân Kiều,2
87,Đồ điên,2
88,Sở khanh,2
89,Oa,2
90,Đồng cảm,2
91,Nước kìa,2
92,Ha ha,2
93,Báo cáo,2
94,Lợn,1
95,Lợn,1
96,Lợn,1
97,Sở khanh,2
98,Tin đồn,2
99,Ha-so,2
100,Thật sự,2
101,Trời ạ,2
102,Kẻ ác,2
103,Pháp y,2
104,Thật sự,2
105,ừ,1
106,Ác ma,2
107,헐,1
108,Bắt giam,2
109,À....,2
110,Bắt giam,2
111,ㅡㅡ,2
112,Bảo thủ,2
113,Hay đấy,2
114,Thay máu,2
115,-3,1
116,Hả......,2
117,Sợ quá,2
118,Ừ.,2
119,Đúng rồi,2
120,Vâng,1
121,Việt Nam,2
122,Woa,2
123,Đỉnh vãi,2
124,Mẹ mày,2
125,Ác ma,2
126,Đã ghê,2
127,Hả?,2
128,Khỉ đột,2
129,.66,2
130,Bravo,1
131,trẻ trâu,2
132,Đồng ý,2
133,Cười ẻ,2
134,Ác quỷ,2
135,Vẫn còn,2
136,Wow,2
137,Đoạn,1
138,Ôi,1
139,Chào bạn,2
140,30,1
141,Xu hướng,2
142,Sợ quá,2
143,Chú ơi,2
144,Trung Quốc,2
145,Đồng cảm,2
146,Hả......,2
147,Ha ha,2
148,Vietsub,2
149,Không Drake,2
150,Biến thái,2
151,Samaa,2
152,Lên trên,2
153,Ê,1
154,Ê,1
155,Wow,2
156,Hả,2
157,Like ạ,2
158,Đồng ý,2
159,Ai?,2
160,Wow,2
161,Buồn quá,2
162,ㅡㅡ,2
163,Loại bỏ,2
164,Hả,2
165,Vietsub,2
166,Nhà,1
167,Hả.....,2
168,Anh...,2
169,Yêu,1
170,Ha,1
171,Vietsub,2
172,Im đi,2
173,Lên,1
174,haha,2
175,Con gián,2
176,Google Dịch,2
177,Tiền.,2
178,Đẩy lên,2
179,Bốn mùa,2
180,Nhìn cách,2
181,",",1
182,Tiền.,2
183,ㅇ,1
184,Này,1
185,Tôi cũng,2
186,??,2
187,Chào bạn,2
188,Ừm.,2
189,Haha,2
190,Quần lót,2
191,La thứ,2
192,Hả...,2
193,Đồng ý,2
194,Tẩy chay,2
195,Tốt.,2
196,Hả,2
197,Sốc nặng,2
198,Up.,2
199,Nghiệp chướng,2
200,Chà,1
201,thật á,2
202,Á,1
203,Đồng ý,2
204,KHÔNG,1
